"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"HS2,HS1";"HSB01-080808";2;"Heat Sink";;;
2;"S1,S2";"PTS636SK25JSMTRLFS";2;"Tactile Switch 6mm";;;
3;"R10,R6,R5,R14";"R_0603_1608Metric";4;"10K";;;
4;"L1,L2,L3,L4";"VLS5045EX330M";4;"VLS5045EX-2R2N";;;
5;"R7,R11";"R_0603_1608Metric";2;"220K";;;
6;"R2";"R_0805_2012Metric";1;"2K";;;
7;"R9,R13";"R_0603_1608Metric";2;"28K";;;
8;"J1";"CUI_PJ-102B";1;"PJ-102B";;;
9;"LED6,LED7";"LEDC1608X80N";2;"150060YS75003";;;
10;"LED1,LED4,LED5";"LEDC1608X80N";3;"150060VS75003";;;
11;"C12,C15,C4,C8";"C_0603_1608Metric";4;"100n";;;
12;"R18,R17";"R_0603_1608Metric";2;"210";;;
13;"LED3";"LEDC1608X80N";1;"150060AS75003";;;
14;"C2,C1";"C_0805_2012Metric";2;"22µ";;;
15;"R3";"R_0603_1608Metric";1;"100K";;;
16;"LED2";"LEDC1608X80N";1;"150060RS75003";;;
17;"R4";"R_0603_1608Metric";1;"31K6";;;
18;"U1,U2,U3";"QFN50P300X300X100-17N-D";3;"TPS62130ARGTR";;;
19;"C5,C9,C13";"C_0603_1608Metric";3;"3n3";;;
20;"R19,R20";"R_0603_1608Metric";2;"887";;;
21;"R8,R12";"R_0603_1608Metric";2;"42K2";;;
22;"C3,C11,C7";"C_0603_1608Metric";3;"10µF";;;
23;"R1";"R_0603_1608Metric";1;"1K91";;;
24;"F1";"FUSE_SMD1812B110TF_YAG";1;"SMD1812B110TF";;;
25;"C14,C10,C6";"C_0603_1608Metric";3;"22µ";;;
26;"U4";"UFQFPN20_3X3_STM";1;"STM32C011F4U6TR";;;
27;"CR1";"SOD-123F_LTF";1;"SMF17CA";;;
28;"R15";"R_0603_1608Metric";1;"365";;;
29;"Q1";"BUK6D12060PX";1;"BUK6D120-60PX";;;
30;"R16";"R_0603_1608Metric";1;"402";;;
31;"Z1";"SOD3716X145N";1;"MMSZ5231B-7-F";;;
32;"J3,J4";"PinHeader_2x02_P2.54mm_Vertical";2;"Pin Hdr 2x2";;;
