Designator,Mid X,Mid Y,Rotation,Layer
C1,52.451,-92.202,180.0,top
C10,76.962,-80.023,270.0,top
C11,68.313,-116.967,270.0,top
C12,66.662,-116.967,270.0,top
C13,70.345,-113.284,180.0,top
C14,72.123,-119.888,180.0,top
C15,65.278,-105.664,0.0,top
C2,53.975,-101.727,180.0,top
C3,57.912,-93.345,90.0,top
C4,56.261,-93.345,90.0,top
C5,59.944,-89.938,180.0,top
C6,61.468,-96.288,180.0,top
C7,74.295,-83.96,0.0,top
C8,74.295,-85.611,0.0,top
C9,70.612,-81.928,270.0,top
CR1,51.308,-84.328,90.0,top
F1,58.166,-84.582,270.0,top
FID1,81.407,-75.057,0.0,top
FID2,53.467,-77.47,0.0,top
FID3,58.674,-116.459,0.0,top
J1,50.554,-76.454,180.0,top
J2,53.086,-117.602,90.0,top
J3,99.065,-73.02,0.0,bottom
J4,99.065,-120.015,0.0,bottom
L1,51.816,-96.901,270.0,top
L2,66.675,-95.018,270.0,top
L3,75.057,-74.943,0.0,top
L4,77.33,-117.856,270.0,top
LED1,52.07,-107.442,180.0,top
LED2,78.486,-98.679,270.0,top
LED3,76.454,-98.679,270.0,top
LED4,76.454,-89.916,270.0,top
LED5,76.454,-107.442,270.0,top
LED6,78.486,-89.916,270.0,top
LED7,78.486,-107.442,270.0,top
P1,68.58,-77.216,270.0,bottom
Q1,54.356,-86.093,180.0,top
R1,49.657,-89.472,90.0,top
R10,72.123,-121.412,0.0,top
R11,76.06,-112.522,270.0,top
R12,74.409,-112.522,90.0,top
R13,72.758,-112.522,90.0,top
R14,65.262252,-104.016,180.0,top
R15,71.501,-98.806,270.0,top
R16,73.152,-98.806,270.0,top
R17,73.152,-90.043,270.0,top
R18,73.152,-107.442,270.0,top
R19,71.501,-90.043,270.0,top
R2,50.673,-102.489,90.0,top
R20,71.501,-107.442,270.0,top
R3,64.008,-89.176,270.0,top
R4,62.357,-89.176,90.0,top
R5,61.468,-97.812,0.0,top
R6,78.486,-80.023,90.0,top
R7,69.85,-76.213,0.0,top
R8,69.85,-77.864,180.0,top
R9,69.85,-79.515,180.0,top
S1,62.992,-117.094,90.0,top
S2,62.992,-80.01,270.0,top
U1,60.857,-92.974,180.0,top
U2,73.672,-80.761,270.0,top
U3,71.478,-116.428,180.0,top
U4,61.722,-105.156,180.0,top
Z1,53.34,-89.408,180.0,top
